ExternalID,Name,Description,Version,level,Parentnode,Is include
Fashion,Fashion,,OB 2023 version1,Departments,,TRUE
Fashion : Bags,Bags,,OB 2023 version1,Product Group,Fashion,TRUE
Fashion : Bags : Backpack bag,Backpack bag,,OB 2023 version1,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Backpack bag : Draw string,Draw string,,OB 2023 version1,OB Type,Fashion : Bags : Backpack bag,TRUE
Fashion : Bags : Backpack bag : Draw string : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Draw string,TRUE
Fashion : Bags : Backpack bag : Draw string : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Draw string,TRUE
Fashion : Bags : Backpack bag : Drawstring,Drawstring,,OB 2023 version1,OB Type,Fashion : Bags : Backpack bag,TRUE
Fashion : Bags : Backpack bag : Drawstring : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Drawstring,TRUE
Fashion : Bags : Backpack bag : Drawstring : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Drawstring,TRUE
Fashion : Bags : Backpack bag : Drawstring : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Drawstring,TRUE
Fashion : Bags : Backpack bag : Flapover,Flapover,,OB 2023 version1,OB Type,Fashion : Bags : Backpack bag,TRUE
Fashion : Bags : Backpack bag : Flapover : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Flapover,TRUE
Fashion : Bags : Backpack bag : Flapover : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Flapover,TRUE
Fashion : Bags : Backpack bag : Flapover : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Flapover,TRUE
Fashion : Bags : Backpack bag : Round top,Round top,,OB 2023 version1,OB Type,Fashion : Bags : Backpack bag,TRUE
Fashion : Bags : Backpack bag : Round top : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Round top,TRUE
Fashion : Bags : Backpack bag : Round top : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Round top,TRUE
Fashion : Bags : Backpack bag : Round top : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Round top,TRUE
Fashion : Bags : Backpack bag : Zip top,Zip top,,OB 2023 version1,OB Type,Fashion : Bags : Backpack bag,TRUE
Fashion : Bags : Backpack bag : Zip top : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Zip top,TRUE
Fashion : Bags : Backpack bag : Zip top : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Zip top,TRUE
Fashion : Bags : Backpack bag : Zip top : Nylon,Nylon,,OB 2023 version1,Type Detail,Fashion : Bags : Backpack bag : Zip top,TRUE
