ExternalID,Name,Description,Version,level,Parentnode,Is include
Fashion,Fashion,,TEST_extra_fashion_nodes,Departments,,TRUE
Fashion : Bags,Bags,,TEST_extra_fashion_nodes,Product Group,Fashion,TRUE
Fashion : Bags : Backpack Bag,Backpack Bag,,TEST_extra_fashion_nodes,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Backpack Bag : Draw String,Draw String,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Backpack Bag,TRUE
Fashion : Bags : Backpack Bag : Draw String : Cotton,Cotton,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Draw String,TRUE
Fashion : Bags : Backpack Bag : Draw String : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Draw String,TRUE
Fashion : Bags : Backpack Bag : Drawstring,Drawstring,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Backpack Bag,TRUE
Fashion : Bags : Backpack Bag : Drawstring : Cotton,Cotton,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Drawstring,TRUE
Fashion : Bags : Backpack Bag : Drawstring : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Drawstring,TRUE
Fashion : Bags : Backpack Bag : Drawstring : Pu,Pu,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Drawstring,TRUE
Fashion : Bags : Backpack Bag : Flapover,Flapover,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Backpack Bag,TRUE
Fashion : Bags : Backpack Bag : Flapover : Leather,Leather,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Flapover,TRUE
Fashion : Bags : Backpack Bag : Flapover : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Flapover,TRUE
Fashion : Bags : Backpack Bag : Flapover : Pu,Pu,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Flapover,TRUE
Fashion : Bags : Backpack Bag : Round Top,Round Top,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Backpack Bag,TRUE
Fashion : Bags : Backpack Bag : Round Top : Cotton,Cotton,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Round Top,TRUE
Fashion : Bags : Backpack Bag : Round Top : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Round Top,TRUE
Fashion : Bags : Backpack Bag : Round Top : Pu,Pu,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Round Top,TRUE
Fashion : Bags : Backpack Bag : Zip Top,Zip Top,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Backpack Bag,TRUE
Fashion : Bags : Backpack Bag : Zip Top : Cotton,Cotton,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Zip Top,TRUE
Fashion : Bags : Backpack Bag : Zip Top : Leather,Leather,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Zip Top,TRUE
Fashion : Bags : Backpack Bag : Zip Top : Nylon,Nylon,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Zip Top,TRUE
Fashion : Bags : Backpack Bag : Zip Top : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Zip Top,TRUE
Fashion : Bags : Backpack Bag : Zip Top : Pu,Pu,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Backpack Bag : Zip Top,TRUE
Fashion : Bags : Bag Strap Small Accessories,Bag Strap Small Accessories,,TEST_extra_fashion_nodes,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Bag Strap Small Accessories : 1.2Cm Bag Strap,1.2Cm Bag Strap,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 1.2Cm Bag Strap : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 1.2Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 1.5Cm Bag Strap,1.5Cm Bag Strap,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 1.5Cm Bag Strap : Pu,Pu,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 1.5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap,2.5Cm Bag Strap,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap : Leather,Leather,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap : Pu,Pu,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 3.8Cm Bag Strap,3.8Cm Bag Strap,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 3.8Cm Bag Strap : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 3.8Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 3.8Cm Bag Strap : Pu,Pu,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 3.8Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 4.5Cm Bag Strap,4.5Cm Bag Strap,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 4.5Cm Bag Strap : Natural,Natural,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 4.5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 4Cm Bag Strap,4Cm Bag Strap,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 4Cm Bag Strap : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 4Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 5Cm Bag Strap,5Cm Bag Strap,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 5Cm Bag Strap : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : Shoulder Bag Strap,Shoulder Bag Strap,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : Shoulder Bag Strap : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Bag Strap Small Accessories : Shoulder Bag Strap,TRUE
Fashion : Bags : Cardholder Small Accessories,Cardholder Small Accessories,,TEST_extra_fashion_nodes,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Cardholder Small Accessories : Cardholder,Cardholder,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Cardholder Small Accessories,TRUE
Fashion : Bags : Cardholder Small Accessories : Cardholder : Leather,Leather,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Cardholder Small Accessories : Cardholder,TRUE
Fashion : Bags : Cardholder Small Accessories : Cardholder : Natural,Natural,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Cardholder Small Accessories : Cardholder,TRUE
Fashion : Bags : Cardholder Small Accessories : Cardholder : Polypropylene,Polypropylene,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Cardholder Small Accessories : Cardholder,TRUE
Fashion : Bags : Cardholder Small Accessories : Cardholder : Pu,Pu,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Cardholder Small Accessories : Cardholder,TRUE
Fashion : Bags : Clutch Bag,Clutch Bag,,TEST_extra_fashion_nodes,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Clutch Bag : Box,Box,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Clutch Bag,TRUE
Fashion : Bags : Clutch Bag : Box : Cotton,Cotton,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Box,TRUE
Fashion : Bags : Clutch Bag : Box : Natural,Natural,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Box,TRUE
Fashion : Bags : Clutch Bag : Box : Plastic,Plastic,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Box,TRUE
Fashion : Bags : Clutch Bag : Box : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Box,TRUE
Fashion : Bags : Clutch Bag : Clasp Top,Clasp Top,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Clutch Bag,TRUE
Fashion : Bags : Clutch Bag : Clasp Top : Cotton,Cotton,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Clasp Top,TRUE
Fashion : Bags : Clutch Bag : Clasp Top : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Clasp Top,TRUE
Fashion : Bags : Clutch Bag : Clasp Top : Pu,Pu,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Clasp Top,TRUE
Fashion : Bags : Clutch Bag : Flapover,Flapover,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Clutch Bag,TRUE
Fashion : Bags : Clutch Bag : Flapover : Cotton,Cotton,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Flapover,TRUE
Fashion : Bags : Clutch Bag : Flapover : Leather,Leather,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Flapover,TRUE
Fashion : Bags : Clutch Bag : Flapover : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Flapover,TRUE
Fashion : Bags : Clutch Bag : Flapover : Pu,Pu,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Flapover,TRUE
Fashion : Bags : Clutch Bag : Money,Money,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Clutch Bag,TRUE
Fashion : Bags : Clutch Bag : Money : Cotton,Cotton,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Money,TRUE
Fashion : Bags : Clutch Bag : Money : Natural,Natural,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Money,TRUE
Fashion : Bags : Clutch Bag : Money : Polyester,Polyester,,TEST_extra_fashion_nodes,Type Detail,Fashion : Bags : Clutch Bag : Money,TRUE
Fashion : Bags : Clutch Bag : Zip Top,Zip Top,,TEST_extra_fashion_nodes,OB Type,Fashion : Bags : Clutch Bag,TRUE
