ExternalID,Name,Description,Version,level,Parentnode,Is include
Fashion,Fashion,,Oliver Bonas Update 2023,Departments,,TRUE
Fashion : Bags,Bags,,Oliver Bonas Update 2023,Product Group,Fashion,TRUE
Fashion : Bags : Backpack Bag,Backpack Bag,,Oliver Bonas Update 2023,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Backpack Bag : Draw String,Draw String,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Backpack Bag,TRUE
Fashion : Bags : Backpack Bag : Draw String : Cotton,Cotton,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Draw String,TRUE
Fashion : Bags : Backpack Bag : Draw String : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Draw String,TRUE
Fashion : Bags : Backpack Bag : Drawstring,Drawstring,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Backpack Bag,TRUE
Fashion : Bags : Backpack Bag : Drawstring : Cotton,Cotton,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Drawstring,TRUE
Fashion : Bags : Backpack Bag : Drawstring : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Drawstring,TRUE
Fashion : Bags : Backpack Bag : Drawstring : Pu,Pu,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Drawstring,TRUE
Fashion : Bags : Backpack Bag : Flapover,Flapover,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Backpack Bag,TRUE
Fashion : Bags : Backpack Bag : Flapover : Leather,Leather,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Flapover,TRUE
Fashion : Bags : Backpack Bag : Flapover : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Flapover,TRUE
Fashion : Bags : Backpack Bag : Flapover : Pu,Pu,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Flapover,TRUE
Fashion : Bags : Backpack Bag : Round Top,Round Top,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Backpack Bag,TRUE
Fashion : Bags : Backpack Bag : Round Top : Cotton,Cotton,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Round Top,TRUE
Fashion : Bags : Backpack Bag : Round Top : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Round Top,TRUE
Fashion : Bags : Backpack Bag : Round Top : Pu,Pu,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Round Top,TRUE
Fashion : Bags : Backpack Bag : Zip Top,Zip Top,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Backpack Bag,TRUE
Fashion : Bags : Backpack Bag : Zip Top : Cotton,Cotton,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Zip Top,TRUE
Fashion : Bags : Backpack Bag : Zip Top : Leather,Leather,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Zip Top,TRUE
Fashion : Bags : Backpack Bag : Zip Top : Nylon,Nylon,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Zip Top,TRUE
Fashion : Bags : Backpack Bag : Zip Top : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Zip Top,TRUE
Fashion : Bags : Backpack Bag : Zip Top : Pu,Pu,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Backpack Bag : Zip Top,TRUE
Fashion : Bags : Bag Strap Small Accessories,Bag Strap Small Accessories,,Oliver Bonas Update 2023,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Bag Strap Small Accessories : 1.2Cm Bag Strap,1.2Cm Bag Strap,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 1.2Cm Bag Strap : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 1.2Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 1.5Cm Bag Strap,1.5Cm Bag Strap,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 1.5Cm Bag Strap : Pu,Pu,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 1.5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap,2.5Cm Bag Strap,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap : Leather,Leather,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap : Pu,Pu,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 2.5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 3.8Cm Bag Strap,3.8Cm Bag Strap,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 3.8Cm Bag Strap : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 3.8Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 3.8Cm Bag Strap : Pu,Pu,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 3.8Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 4.5Cm Bag Strap,4.5Cm Bag Strap,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 4.5Cm Bag Strap : Natural,Natural,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 4.5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 4Cm Bag Strap,4Cm Bag Strap,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 4Cm Bag Strap : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 4Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : 5Cm Bag Strap,5Cm Bag Strap,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : 5Cm Bag Strap : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : 5Cm Bag Strap,TRUE
Fashion : Bags : Bag Strap Small Accessories : Shoulder Bag Strap,Shoulder Bag Strap,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Bag Strap Small Accessories,TRUE
Fashion : Bags : Bag Strap Small Accessories : Shoulder Bag Strap : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Bag Strap Small Accessories : Shoulder Bag Strap,TRUE
Fashion : Bags : Cardholder Small Accessories,Cardholder Small Accessories,,Oliver Bonas Update 2023,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Cardholder Small Accessories : Cardholder,Cardholder,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Cardholder Small Accessories,TRUE
Fashion : Bags : Cardholder Small Accessories : Cardholder : Leather,Leather,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Cardholder Small Accessories : Cardholder,TRUE
Fashion : Bags : Cardholder Small Accessories : Cardholder : Natural,Natural,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Cardholder Small Accessories : Cardholder,TRUE
Fashion : Bags : Cardholder Small Accessories : Cardholder : Polypropylene,Polypropylene,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Cardholder Small Accessories : Cardholder,TRUE
Fashion : Bags : Cardholder Small Accessories : Cardholder : Pu,Pu,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Cardholder Small Accessories : Cardholder,TRUE
Fashion : Bags : Clutch Bag,Clutch Bag,,Oliver Bonas Update 2023,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Clutch Bag : Box,Box,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Clutch Bag,TRUE
Fashion : Bags : Clutch Bag : Box : Cotton,Cotton,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Clutch Bag : Box,TRUE
Fashion : Bags : Clutch Bag : Box : Natural,Natural,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Clutch Bag : Box,TRUE
Fashion : Bags : Clutch Bag : Box : Plastic,Plastic,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Clutch Bag : Box,TRUE
Fashion : Bags : Clutch Bag : Box : Polyester,Polyester,,Oliver Bonas Update 2023,Type Detail,Fashion : Bags : Clutch Bag : Box,TRUE
Fashion : Bags : Clutch Bag : Clasp Top,Clasp Top,,Oliver Bonas Update 2023,OB Type,Fashion : Bags : Clutch Bag,TRUE
