Error,ExternalID,Name,Description,Version,level,Parentnode,Is include
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit cardigan : Crew neck : Gg 3,Gg 3,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit cardigan : Crew neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit cardigan : Crew neck : Gg 5,Gg 5,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit cardigan : Crew neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit cardigan : Crew neck : Gg 7,Gg 7,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit cardigan : Crew neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit cardigan : Edge to edge  : Gg 7,Gg 7,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit cardigan : Edge to edge ,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit cardigan : Zip up : Gg 12,Gg 12,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit cardigan : Zip up,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit cardigan : Zip up : Gg 3,Gg 3,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit cardigan : Zip up,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit cardigan : Zip up : Gg 5,Gg 5,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit cardigan : Zip up,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit cardigan : Zip up : Gg 7,Gg 7,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit cardigan : Zip up,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit dress : Knit midi dress : Gg 12,Gg 12,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit dress : Knit midi dress,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit dress : Knit mini dress : Gg 12,Gg 12,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit dress : Knit mini dress,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit dress : Knit mini dress : Gg 7,Gg 7,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit dress : Knit mini dress,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Crew neck  : Gg 12,Gg 12,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Crew neck ,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Crew neck  : Gg 7,Gg 7,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Crew neck ,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Crew neck : Gg 12,Gg 12,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Crew neck,TRUE
